gap_id,title,priority,status,stage,evidence
GAP-001,실제 모임·장소·주최자 자료,P0,OPEN,STAGE-1-BASELINE,E-CONTENT-OPEN
GAP-002,인증 callback과 세션,P0,OPEN,STAGE-1-BASELINE,E-DEVICE-OPEN
GAP-003,공개 결과물·원본 일치,P0,OPEN,STAGE-1-BASELINE,E-CLOUDFLARE-20260908
GAP-004,신청·대기·취소,P0,OPEN,STAGE-3-CORE,E-CONTENT-OPEN
GAP-005,안전·신고·지원 운영,P0,OPEN,STAGE-3-CORE,E-CONTENT-OPEN
GAP-006,모바일·PC 실기기,P1,OPEN,STAGE-5-RELEASE,E-DEVICE-OPEN
GAP-007,결제·환불,P1,OPEN,STAGE-5-RELEASE,E-CONTENT-OPEN
GAP-008,광고 승인·CMP,P1,OPEN,STAGE-4-QUALITY,E-CONTENT-OPEN
GAP-009,LinkMax 위임 권한,P1,OPEN,STAGE-5-RELEASE,E-LINKMAX-20260909
GAP-010,속도 측정,P1,OPEN,STAGE-4-QUALITY,E-PERF-OPEN
